rank,gk_sp_id,player_name,season_id,season_name,grade,matches,saves,goals,save_pct
1058,251164835,우카시 파비안스키,251,EBS (European Best Stars),9,317,756,779,0.4925
1059,231193080,데헤아,231,VTR (Veteran),9,1211,2972,3063,0.4925
1060,804263063,J. 트래포드,804,23NG (23 NEW GENERATION),10,601,1465,1511,0.4923
1061,265192119,티보 쿠르투아,265,LOL (LEGEND OF THE LOAN),9,6453,15935,16437,0.4922
1062,216200389,얀 오블라크,216,HOT (Heroes Of the Team),9,401,1008,1040,0.4922
1063,206167948,위고 요리스,206,TB (Tournament Best),13,3125,7630,7873,0.4922
1064,517204883,브라이스 삼바,517,25 PL (25 Premium Live),11,1729,4179,4314,0.4921
1065,216167495,마누엘 노이어,216,HOT (Heroes Of the Team),10,542,1371,1416,0.4919
1066,517189117,로만 뷔어키,517,25 PL (25 Premium Live),11,501,1266,1308,0.4918
1067,283230869,우나이 시몬,283,HG (Home Grown),10,3280,8040,8307,0.4918
1068,280215698,마이크 메냥,280,22 UCL (22 UEFA Champions League),8,5860,14172,14645,0.4918
1069,517230869,우나이 시몬,517,25 PL (25 Premium Live),9,642,1602,1656,0.4917
1070,517210676,W. 팔코네,517,25 PL (25 Premium Live),11,577,1476,1526,0.4917
1071,246211990,O. 블라호디모스,246,UP (Unsung Players),9,1259,3124,3230,0.4917
1072,802048940,페트르 체흐,802,DC (Decade),8,1044,2667,2758,0.4916
1073,237001179,잔루이지 부폰,237,MC (Multi-League Champions),9,443,1136,1175,0.4916
1074,517211738,마르크 플레컨,517,25 PL (25 Premium Live),8,3379,8335,8622,0.4915
1075,216163587,카스퍼 슈마이켈,216,HOT (Heroes Of the Team),8,326,754,780,0.4915
1076,231173373,세르히오 로메로,231,VTR (Veteran),9,898,2264,2343,0.4914
1077,517223885,알렉산더 뉘벨,517,25 PL (25 Premium Live),9,496,1240,1284,0.4913
1078,270221087,파우 로페스,270,SPL (Spotlight),9,756,1849,1915,0.4912
1079,268048940,페트르 체흐,268,LN (LEGENDARY NUMBERS),10,784,1903,1971,0.4912
1080,253230869,우나이 시몬,253,BOE21 (Best of Europe 21),8,1670,4081,4227,0.4912
1081,217199987,야스퍼르 실러선,217,COC (Competitor Of Continents),13,653,1525,1580,0.4911
1082,810246139,이냐키 페냐,810,23 UCL (23 UEFA Champions League),8,1153,2915,3021,0.4911
1083,237001179,잔루이지 부폰,237,MC (Multi-League Champions),10,496,1229,1274,0.4910
1084,834215223,왈테르 베니테스,834,24 UCL (24 UEFA Champions League),8,478,1221,1266,0.4910
1085,234001179,잔루이지 부폰,234,LH (Loyal Heroes),9,530,1356,1406,0.4909
1086,215192448,M. 테어슈테겐,215,19 TOTS (19 Team Of The Season),13,219,594,616,0.4909
1087,264190941,L. 흐라데츠키,264,FA (FREE AGENT),11,1357,3293,3415,0.4909
1088,518221759,김경민,518,26KLeague (26KLeague),9,397,941,976,0.4909
1089,295191655,김승규,295,19 KFA (19 KFA),12,379,964,1000,0.4908
1090,256186569,스벤 울라이히,256,BTB (Back to Back),10,859,2109,2188,0.4908
1091,291192984,쿤 카스테일스,291,23HW (23 Hard Worker),8,296,720,747,0.4908
1092,234199987,야스퍼르 실러선,234,LH (Loyal Heroes),13,305,692,718,0.4908
